DEP;DEPNOMBRE;MUN;MUNNOMBRE;ZONA;PUESTO;PUESNOMBRE;MESA;CORCODIGO;CORNOMBRE;MESAFUERATERMINOS;OBSERVACIONNOVEDADMESA;FECHALLEGADA;SUFRAGANTES;ESTADOSOBRE;TOTALVOTOSURNA;TOTALVOTOSINCINERADOS;CANTIDADFIRMAS;SUFRAGANTESSEGUNE11;TACHADURASBORRONES;OBSERVACIONTACHADURASBORRONES;RECUENTOJURADOS;RECUENTOJURADOSSOLICITADOPOR;RECUENTOSOLICITADOREPRESENTACIONPARTIDO;OBSERVACIONRECONTADA;RECONTADAAUXILIAR;RECONTADAZONAL;RECONTADAMUNICIPAL;RECONTADAGENERAL;RECONTADANACIONAL;EXCLUIDA;MODIFICADA;APELADA
21;MAGDALENA;001;SANTA MARTA;06;07;I.E.D.ESC.NORMALSUP.MARIAAUX;012;01;PRESIDENTE;NO;;;138;BUEN ESTADO;138;0;6;138;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;06;07;I.E.D.ESC.NORMALSUP.MARIAAUX;013;01;PRESIDENTE;NO;;;174;BUEN ESTADO;174;0;6;174;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;06;07;I.E.D.ESC.NORMALSUP.MARIAAUX;014;01;PRESIDENTE;NO;;;205;BUEN ESTADO;205;0;6;205;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;06;07;I.E.D.ESC.NORMALSUP.MARIAAUX;015;01;PRESIDENTE;NO;;;195;BUEN ESTADO;195;0;6;195;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;06;07;I.E.D.ESC.NORMALSUP.MARIAAUX;016;01;PRESIDENTE;NO;;;10;BUEN ESTADO;10;0;6;10;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;06;08;IEDELCARMEN;001;01;PRESIDENTE;NO;;;173;BUEN ESTADO;173;0;6;173;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;06;08;IEDELCARMEN;002;01;PRESIDENTE;NO;;;197;BUEN ESTADO;197;0;6;197;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;06;08;IEDELCARMEN;003;01;PRESIDENTE;NO;;;240;BUEN ESTADO;240;0;6;240;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;06;08;IEDELCARMEN;004;01;PRESIDENTE;NO;;;237;BUEN ESTADO;237;0;6;237;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;06;08;IEDELCARMEN;005;01;PRESIDENTE;NO;;;176;BUEN ESTADO;176;0;6;176;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;06;08;IEDELCARMEN;006;01;PRESIDENTE;NO;;;124;BUEN ESTADO;124;0;6;124;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;06;08;IEDELCARMEN;007;01;PRESIDENTE;NO;;;166;BUEN ESTADO;166;0;6;166;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;06;08;IEDELCARMEN;008;01;PRESIDENTE;NO;;;227;BUEN ESTADO;227;0;6;227;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;06;08;IEDELCARMEN;009;01;PRESIDENTE;NO;;;245;BUEN ESTADO;245;0;6;245;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;06;08;IEDELCARMEN;010;01;PRESIDENTE;NO;;;227;BUEN ESTADO;227;0;6;227;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;06;08;IEDELCARMEN;011;01;PRESIDENTE;NO;;;198;BUEN ESTADO;198;0;6;198;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;06;08;IEDELCARMEN;012;01;PRESIDENTE;NO;;;194;BUEN ESTADO;194;0;6;194;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;06;08;IEDELCARMEN;013;01;PRESIDENTE;NO;;;181;BUEN ESTADO;181;0;6;181;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;06;08;IEDELCARMEN;014;01;PRESIDENTE;NO;;;216;BUEN ESTADO;216;0;6;216;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;06;08;IEDELCARMEN;015;01;PRESIDENTE;NO;;;153;BUEN ESTADO;153;0;6;153;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;06;08;IEDELCARMEN;016;01;PRESIDENTE;NO;;;162;BUEN ESTADO;162;0;6;162;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;06;08;IEDELCARMEN;017;01;PRESIDENTE;NO;;;76;BUEN ESTADO;76;0;6;76;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;06;09;IEDRODRIGOGALVANDEBASTIDAS;001;01;PRESIDENTE;NO;;;287;BUEN ESTADO;287;0;6;287;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;06;09;IEDRODRIGOGALVANDEBASTIDAS;002;01;PRESIDENTE;NO;;;269;BUEN ESTADO;269;0;6;269;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;06;09;IEDRODRIGOGALVANDEBASTIDAS;003;01;PRESIDENTE;NO;;;264;BUEN ESTADO;264;0;6;264;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;06;09;IEDRODRIGOGALVANDEBASTIDAS;004;01;PRESIDENTE;NO;;;279;BUEN ESTADO;279;0;6;279;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;06;09;IEDRODRIGOGALVANDEBASTIDAS;005;01;PRESIDENTE;NO;;;248;BUEN ESTADO;248;0;6;248;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;06;09;IEDRODRIGOGALVANDEBASTIDAS;006;01;PRESIDENTE;NO;;;260;BUEN ESTADO;260;0;6;260;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;06;09;IEDRODRIGOGALVANDEBASTIDAS;007;01;PRESIDENTE;NO;;;269;BUEN ESTADO;269;0;6;269;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;06;09;IEDRODRIGOGALVANDEBASTIDAS;008;01;PRESIDENTE;NO;;;233;BUEN ESTADO;233;0;6;233;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;06;09;IEDRODRIGOGALVANDEBASTIDAS;009;01;PRESIDENTE;NO;;;181;BUEN ESTADO;181;0;6;181;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;06;09;IEDRODRIGOGALVANDEBASTIDAS;010;01;PRESIDENTE;NO;;;190;BUEN ESTADO;190;0;6;190;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;06;09;IEDRODRIGOGALVANDEBASTIDAS;011;01;PRESIDENTE;NO;;;186;BUEN ESTADO;186;0;6;186;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;06;09;IEDRODRIGOGALVANDEBASTIDAS;012;01;PRESIDENTE;NO;;;180;BUEN ESTADO;180;0;6;180;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;06;09;IEDRODRIGOGALVANDEBASTIDAS;013;01;PRESIDENTE;NO;;;167;BUEN ESTADO;167;0;6;167;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;06;09;IEDRODRIGOGALVANDEBASTIDAS;014;01;PRESIDENTE;NO;;;171;BUEN ESTADO;171;0;6;171;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;06;09;IEDRODRIGOGALVANDEBASTIDAS;015;01;PRESIDENTE;NO;;;186;BUEN ESTADO;186;0;6;186;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;06;09;IEDRODRIGOGALVANDEBASTIDAS;016;01;PRESIDENTE;NO;;;174;BUEN ESTADO;174;0;6;174;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;06;09;IEDRODRIGOGALVANDEBASTIDAS;017;01;PRESIDENTE;NO;;;196;BUEN ESTADO;196;0;6;196;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;06;09;IEDRODRIGOGALVANDEBASTIDAS;018;01;PRESIDENTE;NO;;;214;BUEN ESTADO;214;0;6;214;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;06;09;IEDRODRIGOGALVANDEBASTIDAS;019;01;PRESIDENTE;NO;;;216;BUEN ESTADO;216;0;6;216;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;06;09;IEDRODRIGOGALVANDEBASTIDAS;020;01;PRESIDENTE;NO;;;166;BUEN ESTADO;166;0;6;166;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;06;09;IEDRODRIGOGALVANDEBASTIDAS;021;01;PRESIDENTE;NO;;;69;BUEN ESTADO;69;0;6;69;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;06;10;IEDPANTANOSEDE01;001;01;PRESIDENTE;NO;;;250;BUEN ESTADO;250;0;6;250;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;06;10;IEDPANTANOSEDE01;002;01;PRESIDENTE;NO;;;160;BUEN ESTADO;160;0;6;160;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;06;10;IEDPANTANOSEDE01;003;01;PRESIDENTE;NO;;;227;BUEN ESTADO;127;0;6;127;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;01;I.E.D.MADRELAURA;001;01;PRESIDENTE;NO;;;227;BUEN ESTADO;227;0;6;227;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;01;I.E.D.MADRELAURA;002;01;PRESIDENTE;NO;;;231;BUEN ESTADO;231;0;6;231;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;01;I.E.D.MADRELAURA;003;01;PRESIDENTE;NO;;;189;BUEN ESTADO;189;0;6;189;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;01;I.E.D.MADRELAURA;004;01;PRESIDENTE;NO;;;201;BUEN ESTADO;201;0;6;201;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;01;I.E.D.MADRELAURA;005;01;PRESIDENTE;NO;;;231;BUEN ESTADO;230;0;5;231;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;01;I.E.D.MADRELAURA;006;01;PRESIDENTE;NO;;;216;BUEN ESTADO;216;0;6;216;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;01;I.E.D.MADRELAURA;007;01;PRESIDENTE;NO;;;165;BUEN ESTADO;165;0;6;165;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;01;I.E.D.MADRELAURA;008;01;PRESIDENTE;NO;;;143;BUEN ESTADO;143;0;6;143;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;01;I.E.D.MADRELAURA;009;01;PRESIDENTE;NO;;;148;BUEN ESTADO;148;0;6;148;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;01;I.E.D.MADRELAURA;010;01;PRESIDENTE;NO;;;159;BUEN ESTADO;158;0;6;158;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;01;I.E.D.MADRELAURA;011;01;PRESIDENTE;NO;;;139;BUEN ESTADO;139;0;6;139;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;01;I.E.D.MADRELAURA;012;01;PRESIDENTE;NO;;;172;BUEN ESTADO;172;0;6;172;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;01;I.E.D.MADRELAURA;013;01;PRESIDENTE;NO;;;148;BUEN ESTADO;148;0;6;148;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;01;I.E.D.MADRELAURA;014;01;PRESIDENTE;NO;;;174;BUEN ESTADO;174;0;6;174;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;01;I.E.D.MADRELAURA;015;01;PRESIDENTE;NO;;;159;BUEN ESTADO;159;0;6;159;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;01;I.E.D.MADRELAURA;016;01;PRESIDENTE;NO;;;169;BUEN ESTADO;169;0;6;169;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;01;I.E.D.MADRELAURA;017;01;PRESIDENTE;NO;;;149;BUEN ESTADO;149;0;6;149;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;01;I.E.D.MADRELAURA;018;01;PRESIDENTE;NO;;;122;BUEN ESTADO;122;0;5;122;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;01;I.E.D.MADRELAURA;019;01;PRESIDENTE;NO;;;50;BUEN ESTADO;50;0;6;50;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;02;I.E.D.LICEODELNORTE;001;01;PRESIDENTE;NO;;;167;BUEN ESTADO;167;0;6;167;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;02;I.E.D.LICEODELNORTE;002;01;PRESIDENTE;NO;;;238;BUEN ESTADO;238;0;6;238;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;02;I.E.D.LICEODELNORTE;003;01;PRESIDENTE;NO;;;230;BUEN ESTADO;230;0;6;230;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;02;I.E.D.LICEODELNORTE;004;01;PRESIDENTE;NO;;;235;BUEN ESTADO;235;0;6;235;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;02;I.E.D.LICEODELNORTE;005;01;PRESIDENTE;NO;;;257;BUEN ESTADO;257;0;6;257;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;02;I.E.D.LICEODELNORTE;006;01;PRESIDENTE;NO;;;248;BUEN ESTADO;248;0;6;248;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;02;I.E.D.LICEODELNORTE;007;01;PRESIDENTE;NO;;;260;BUEN ESTADO;259;0;6;260;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;02;I.E.D.LICEODELNORTE;008;01;PRESIDENTE;NO;;;186;BUEN ESTADO;186;0;6;186;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;02;I.E.D.LICEODELNORTE;009;01;PRESIDENTE;NO;;;182;BUEN ESTADO;182;0;6;182;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;02;I.E.D.LICEODELNORTE;010;01;PRESIDENTE;NO;;;170;BUEN ESTADO;170;0;6;170;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;02;I.E.D.LICEODELNORTE;011;01;PRESIDENTE;NO;;;174;BUEN ESTADO;174;0;6;174;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;02;I.E.D.LICEODELNORTE;012;01;PRESIDENTE;NO;;;217;BUEN ESTADO;217;0;6;217;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;02;I.E.D.LICEODELNORTE;013;01;PRESIDENTE;NO;;;231;BUEN ESTADO;232;1;6;231;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;02;I.E.D.LICEODELNORTE;014;01;PRESIDENTE;NO;;;257;BUEN ESTADO;254;0;6;257;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;02;I.E.D.LICEODELNORTE;015;01;PRESIDENTE;NO;;;242;BUEN ESTADO;243;1;6;242;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;02;I.E.D.LICEODELNORTE;016;01;PRESIDENTE;NO;;;232;BUEN ESTADO;231;0;6;232;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;02;I.E.D.LICEODELNORTE;017;01;PRESIDENTE;NO;;;237;BUEN ESTADO;237;0;6;237;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;02;I.E.D.LICEODELNORTE;018;01;PRESIDENTE;NO;;;225;BUEN ESTADO;225;0;6;225;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;02;I.E.D.LICEODELNORTE;019;01;PRESIDENTE;NO;;;240;BUEN ESTADO;240;0;6;240;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;02;I.E.D.LICEODELNORTE;020;01;PRESIDENTE;NO;;;263;BUEN ESTADO;263;0;6;263;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;02;I.E.D.LICEODELNORTE;021;01;PRESIDENTE;NO;;;194;BUEN ESTADO;194;0;6;194;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;02;I.E.D.LICEODELNORTE;022;01;PRESIDENTE;NO;;;177;BUEN ESTADO;177;0;6;177;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;02;I.E.D.LICEODELNORTE;023;01;PRESIDENTE;NO;;;204;BUEN ESTADO;204;0;6;204;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;02;I.E.D.LICEODELNORTE;024;01;PRESIDENTE;NO;;;230;BUEN ESTADO;230;0;6;230;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;02;I.E.D.LICEODELNORTE;025;01;PRESIDENTE;NO;;;23;BUEN ESTADO;23;0;6;23;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;03;I.E.D.ALFONSOLOPEZ;001;01;PRESIDENTE;NO;;;232;BUEN ESTADO;232;0;6;232;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;03;I.E.D.ALFONSOLOPEZ;002;01;PRESIDENTE;NO;;;221;BUEN ESTADO;221;0;6;221;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;03;I.E.D.ALFONSOLOPEZ;003;01;PRESIDENTE;NO;;;219;BUEN ESTADO;219;0;6;219;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;03;I.E.D.ALFONSOLOPEZ;004;01;PRESIDENTE;NO;;;217;BUEN ESTADO;217;0;6;217;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;03;I.E.D.ALFONSOLOPEZ;005;01;PRESIDENTE;NO;;;221;BUEN ESTADO;221;0;6;221;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;03;I.E.D.ALFONSOLOPEZ;006;01;PRESIDENTE;NO;;;231;BUEN ESTADO;231;0;6;231;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;03;I.E.D.ALFONSOLOPEZ;007;01;PRESIDENTE;NO;;;237;BUEN ESTADO;237;0;6;237;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;03;I.E.D.ALFONSOLOPEZ;008;01;PRESIDENTE;NO;;;165;BUEN ESTADO;165;0;6;165;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;03;I.E.D.ALFONSOLOPEZ;009;01;PRESIDENTE;NO;;;142;BUEN ESTADO;142;0;6;142;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;03;I.E.D.ALFONSOLOPEZ;010;01;PRESIDENTE;NO;;;156;BUEN ESTADO;156;0;6;156;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;03;I.E.D.ALFONSOLOPEZ;011;01;PRESIDENTE;NO;;;136;BUEN ESTADO;136;0;6;136;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;03;I.E.D.ALFONSOLOPEZ;012;01;PRESIDENTE;NO;;;174;BUEN ESTADO;174;0;6;174;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;03;I.E.D.ALFONSOLOPEZ;013;01;PRESIDENTE;NO;;;183;BUEN ESTADO;183;0;6;183;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;03;I.E.D.ALFONSOLOPEZ;014;01;PRESIDENTE;NO;;;156;BUEN ESTADO;156;0;6;156;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;03;I.E.D.ALFONSOLOPEZ;015;01;PRESIDENTE;NO;;;171;BUEN ESTADO;171;0;5;171;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;03;I.E.D.ALFONSOLOPEZ;016;01;PRESIDENTE;NO;;;165;BUEN ESTADO;165;0;6;165;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;03;I.E.D.ALFONSOLOPEZ;017;01;PRESIDENTE;NO;;;165;BUEN ESTADO;165;0;6;165;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;03;I.E.D.ALFONSOLOPEZ;018;01;PRESIDENTE;NO;;;176;BUEN ESTADO;176;0;6;176;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;03;I.E.D.ALFONSOLOPEZ;019;01;PRESIDENTE;NO;;;178;BUEN ESTADO;178;0;6;178;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;03;I.E.D.ALFONSOLOPEZ;020;01;PRESIDENTE;NO;;;150;BUEN ESTADO;150;0;6;150;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;03;I.E.D.ALFONSOLOPEZ;021;01;PRESIDENTE;NO;;;81;BUEN ESTADO;81;0;6;81;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;04;IEDJHONFKENNEDY;001;01;PRESIDENTE;NO;;;258;BUEN ESTADO;257;0;6;258;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;04;IEDJHONFKENNEDY;002;01;PRESIDENTE;NO;;;224;BUEN ESTADO;223;0;6;224;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;04;IEDJHONFKENNEDY;003;01;PRESIDENTE;NO;;;147;BUEN ESTADO;147;0;6;147;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;04;IEDJHONFKENNEDY;004;01;PRESIDENTE;NO;;;151;BUEN ESTADO;149;0;6;151;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;04;IEDJHONFKENNEDY;005;01;PRESIDENTE;NO;;;147;BUEN ESTADO;147;0;6;147;NO;;NO;;;;NO;NO;NO;NO;NO;NO;SI;NO;
21;MAGDALENA;001;SANTA MARTA;07;04;IEDJHONFKENNEDY;006;01;PRESIDENTE;NO;;;69;BUEN ESTADO;69;0;5;69;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;07;05;IEDLICEODELNORTESEDE2MIXTANo3;001;01;PRESIDENTE;NO;;;258;BUEN ESTADO;258;0;6;258;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
