DEP;DEPNOMBRE;MUN;MUNNOMBRE;ZONA;PUESTO;PUESNOMBRE;MESA;CORCODIGO;CORNOMBRE;MESAFUERATERMINOS;OBSERVACIONNOVEDADMESA;FECHALLEGADA;SUFRAGANTES;ESTADOSOBRE;TOTALVOTOSURNA;TOTALVOTOSINCINERADOS;CANTIDADFIRMAS;SUFRAGANTESSEGUNE11;TACHADURASBORRONES;OBSERVACIONTACHADURASBORRONES;RECUENTOJURADOS;RECUENTOJURADOSSOLICITADOPOR;RECUENTOSOLICITADOREPRESENTACIONPARTIDO;OBSERVACIONRECONTADA;RECONTADAAUXILIAR;RECONTADAZONAL;RECONTADAMUNICIPAL;RECONTADAGENERAL;RECONTADANACIONAL;EXCLUIDA;MODIFICADA;APELADA
21;MAGDALENA;001;SANTA MARTA;01;02;IEDLICDELSURVICTORDELIMASD2M.M;006;01;PRESIDENTE;NO;;;224;BUEN ESTADO;224;0;6;224;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;02;IEDLICDELSURVICTORDELIMASD2M.M;007;01;PRESIDENTE;NO;;;162;BUEN ESTADO;162;0;6;162;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;02;IEDLICDELSURVICTORDELIMASD2M.M;008;01;PRESIDENTE;NO;;;162;BUEN ESTADO;162;0;6;162;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;02;IEDLICDELSURVICTORDELIMASD2M.M;009;01;PRESIDENTE;NO;;;129;BUEN ESTADO;129;0;6;129;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;02;IEDLICDELSURVICTORDELIMASD2M.M;010;01;PRESIDENTE;NO;;;173;BUEN ESTADO;173;0;6;173;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;02;IEDLICDELSURVICTORDELIMASD2M.M;011;01;PRESIDENTE;NO;;;199;BUEN ESTADO;199;0;6;199;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;02;IEDLICDELSURVICTORDELIMASD2M.M;012;01;PRESIDENTE;NO;;;190;BUEN ESTADO;190;0;0;190;NO;;NO;;;;SI;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;02;IEDLICDELSURVICTORDELIMASD2M.M;013;01;PRESIDENTE;NO;;;166;BUEN ESTADO;166;0;6;166;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;02;IEDLICDELSURVICTORDELIMASD2M.M;014;01;PRESIDENTE;NO;;;160;BUEN ESTADO;161;1;6;160;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;02;IEDLICDELSURVICTORDELIMASD2M.M;015;01;PRESIDENTE;NO;;;165;BUEN ESTADO;165;0;6;165;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
21;MAGDALENA;001;SANTA MARTA;01;02;IEDLICDELSURVICTORDELIMASD2M.M;016;01;PRESIDENTE;NO;;;150;BUEN ESTADO;150;0;6;150;NO;;NO;;;;NO;NO;NO;NO;NO;NO;NO;NO;
